2021-08-20/11:15:21		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:22		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:23		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:24		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:26		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:28		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:29		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:29		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:30		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:30		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:31		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:32		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:33		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:34		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:34		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:35		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:35		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:36		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:36		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:37		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:37		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:38		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:38		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:38		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:39		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:40		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:40		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:42		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:42		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:42		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:43		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:43		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:43		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:44		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:44		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:44		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:45		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:45		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:45		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:46		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:47		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:47		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:47		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:48		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:48		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:49		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:49		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:49		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:50		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:50		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:51		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:51		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:51		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:52		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:52		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:52		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:53		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:53		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:54		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:54		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:55		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:55		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:55		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:56		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:56		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:56		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:57		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:57		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:58		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:58		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:58		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:59		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:59		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:15:59		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:00		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:00		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:00		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:01		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:01		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:01		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:02		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:02		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:02		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:03		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:03		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:03		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
